epoch,train_accuracy,validation_accuracy
0,1.626,1.72
1,2.036,2.37
2,2.678,3.3
3,3.552,4.83
4,5.168,6.1
5,6.584,6.88
6,8.002,9.32
7,9.154,10.16
8,10.048,11.99
9,10.914,12.4
10,11.504,13.32
11,12.374,13.09
12,13.012,13.88
13,13.66,15.07
14,13.918,16.26
15,14.26,14.57
16,14.768,15.15
17,15.33,17.05
18,15.602,18.04
19,15.848,16.92
20,16.268,17.46
21,16.62,18.56
22,17.208,18.15
23,17.166,19.47
24,17.604,18.87
25,17.808,19.75
26,17.866,19.58
27,18.408,19.45
28,18.486,18.77
29,18.646,20.21
30,18.814,20.9
31,19.226,19.05
32,19.23,20.76
33,19.44,20.94
34,19.438,21.25
35,19.786,20.12
36,19.722,21.88
37,20.08,21.37
38,20.096,21.28
39,20.208,21.1
40,20.214,22.22
41,20.452,20.78
42,20.684,21.36
43,20.502,21.68
44,20.78,21.33
45,20.75,21.69
46,21.152,22.34
47,21.288,22.5
48,21.408,22.94
49,21.97,22.07
