epoch,train_accuracy,validation_accuracy
0,2.202,3.98
1,4.662,7.59
2,7.59,10.0
3,9.618,12.5
4,11.794,14.72
5,13.216,16.41
6,14.864,17.18
7,16.112,18.92
8,17.144,20.33
9,18.162,20.6
10,19.074,22.05
11,20.14,23.2
12,21.01,23.91
13,21.868,24.17
14,22.644,25.16
15,23.552,25.52
16,24.162,25.95
17,24.962,26.99
18,25.428,26.8
19,26.488,27.96
20,27.148,27.4
21,27.65,29.32
22,28.576,29.09
23,29.01,29.44
24,29.464,29.61
25,30.278,29.57
26,30.38,30.85
27,31.084,31.18
28,31.418,31.78
29,32.126,31.95
30,32.574,32.25
31,33.002,32.2
32,33.214,32.4
33,33.856,32.79
34,34.15,32.69
35,34.6,33.68
36,34.97,33.16
37,35.262,34.37
38,35.678,33.47
39,35.834,33.06
40,36.132,33.14
41,36.706,33.66
42,36.718,34.63
43,37.002,34.01
44,37.164,33.82
45,37.44,34.26
46,37.674,34.53
47,37.944,34.9
48,38.25,34.73
49,38.434,35.55
