epoch,train_accuracy,validation_accuracy
0,21.85,32.06
1,32.982,39.12
2,37.724,41.52
3,40.392,43.77
4,42.516,45.88
5,44.556,47.71
6,46.388,48.96
7,47.438,49.31
8,48.768,50.76
9,50.174,52.96
10,51.158,51.86
11,51.838,54.69
12,53.06,55.54
13,53.768,55.79
14,54.448,55.4
15,54.872,58.02
16,56.238,58.74
17,56.96,60.12
18,57.588,60.34
19,58.068,58.42
20,58.984,60.48
21,59.522,61.91
22,60.072,61.88
23,60.644,62.36
24,60.98,63.42
25,61.37,60.74
26,61.482,62.34
27,61.868,60.99
28,62.47,62.64
29,62.484,64.16
30,62.998,63.78
31,63.022,62.84
32,63.35,65.07
33,63.562,65.05
34,63.678,62.91
35,63.72,65.37
36,64.224,65.0
37,64.176,65.43
38,64.516,65.17
39,64.322,65.34
40,64.5,65.06
41,65.218,65.86
42,64.822,64.8
43,65.07,65.0
44,65.166,66.54
45,65.464,62.91
46,65.608,66.44
47,65.818,67.28
48,66.024,67.27
49,66.164,67.94
