epoch,train_accuracy,validation_accuracy
0,22.208,31.35
1,29.858,37.23
2,33.99,39.02
3,36.576,41.56
4,38.376,41.06
5,40.104,43.26
6,41.122,43.99
7,42.14,45.99
8,42.664,47.94
9,43.918,47.37
10,45.076,49.69
11,45.868,46.1
12,46.564,49.94
13,47.658,51.26
14,48.512,51.88
15,48.972,52.3
16,49.834,53.94
17,49.92,50.11
18,50.414,51.84
19,50.96,51.94
20,51.48,50.27
21,51.868,53.51
22,51.944,52.76
23,52.706,52.78
24,52.876,52.88
25,53.372,52.9
26,53.74,54.04
27,54.028,53.99
28,53.898,55.59
29,54.304,55.59
30,54.41,53.52
31,54.396,52.16
32,54.898,52.17
33,55.134,55.24
34,55.25,50.33
35,55.266,56.35
36,55.294,56.38
37,55.226,55.65
38,55.37,57.69
39,55.864,56.52
40,55.758,58.3
41,56.312,59.2
42,56.026,54.23
43,56.548,55.85
44,56.42,57.33
45,56.342,54.5
46,56.448,57.61
47,56.574,56.7
48,56.926,56.93
49,57.306,58.58
