epoch,train_accuracy,validation_accuracy
0,23.084,33.39
1,33.69,40.4
2,38.132,43.67
3,40.636,47.4
4,42.67,45.75
5,44.408,47.62
6,45.952,50.95
7,47.45,48.43
8,48.828,50.16
9,50.01,51.14
10,50.992,53.58
11,52.098,52.91
12,52.824,55.6
13,53.844,56.03
14,54.776,56.73
15,55.758,58.22
16,56.18,56.18
17,57.282,59.46
18,57.8,58.97
19,58.31,57.87
20,58.982,59.72
21,59.55,61.37
22,60.2,62.07
23,60.556,60.01
24,61.152,62.18
25,61.7,63.24
26,61.934,64.59
27,62.188,63.18
28,62.534,63.36
29,62.948,64.76
30,63.394,64.82
31,63.678,65.17
32,63.66,63.98
33,63.712,64.25
34,64.284,63.51
35,64.33,65.34
36,64.46,65.45
37,64.616,66.18
38,64.756,65.09
39,65.388,66.92
40,65.122,65.74
41,65.398,65.69
42,65.71,65.97
43,65.53,66.87
44,65.876,66.52
45,66.196,67.82
46,66.266,67.11
47,66.246,68.22
48,66.408,67.88
49,66.948,67.72
