epoch,train_accuracy,validation_accuracy
0,20.956,28.77
1,29.284,33.48
2,33.342,37.41
3,36.088,39.43
4,38.058,41.43
5,39.878,41.55
6,41.066,45.05
7,41.936,44.79
8,43.264,45.56
9,44.446,47.26
10,44.77,47.91
11,45.708,49.51
12,46.458,50.17
13,47.184,49.16
14,48.064,51.48
15,48.304,50.64
16,48.908,52.26
17,49.498,51.37
18,49.95,54.01
19,50.668,52.87
20,51.024,51.86
21,51.468,53.97
22,52.096,55.22
23,52.058,53.79
24,52.784,55.98
25,53.062,55.88
26,53.298,54.26
27,53.49,53.51
28,53.588,57.61
29,53.772,57.01
30,54.222,57.51
31,54.62,56.71
32,54.518,55.77
33,54.926,58.33
34,55.094,58.15
35,55.496,58.28
36,55.722,57.81
37,55.392,58.61
38,55.622,58.66
39,55.736,58.4
40,56.13,58.54
41,55.978,58.9
42,56.096,59.1
43,56.13,57.84
44,56.482,57.19
45,56.598,57.64
46,56.916,58.24
47,56.738,58.25
48,57.058,57.47
49,57.358,59.36
