epoch,train_accuracy,validation_accuracy
0,20.318,27.36
1,28.54,32.49
2,31.768,35.58
3,34.016,38.61
4,35.652,38.34
5,36.792,40.06
6,37.572,40.74
7,39.33,42.8
8,40.528,44.76
9,41.668,42.15
10,42.442,43.99
11,43.254,47.32
12,44.06,44.4
13,44.836,47.53
14,45.484,43.63
15,46.046,47.65
16,46.026,49.53
17,46.618,45.98
18,47.194,50.14
19,47.874,50.77
20,48.226,50.93
21,48.698,49.93
22,49.136,51.39
23,49.602,51.6
24,49.956,54.23
25,49.904,53.06
26,50.424,52.95
27,50.806,51.72
28,50.99,54.89
29,50.684,50.71
30,51.232,48.97
31,51.566,55.17
32,51.626,45.34
33,51.928,52.99
34,52.072,54.31
35,52.064,54.36
36,52.312,50.23
37,52.494,55.12
38,52.592,52.89
39,52.594,47.57
40,52.838,54.1
41,52.976,53.15
42,52.932,53.95
43,53.088,55.3
44,53.396,53.78
45,53.612,53.99
46,53.44,51.59
47,53.932,54.01
48,53.796,56.69
49,54.096,57.73
