epoch,train_accuracy,validation_accuracy
0,20.336,28.74
1,28.164,34.39
2,32.542,35.78
3,34.622,38.47
4,36.886,40.98
5,38.426,38.26
6,39.646,41.82
7,40.754,44.31
8,41.71,45.75
9,42.668,45.43
10,43.434,46.63
11,43.784,46.52
12,45.02,48.09
13,45.724,47.44
14,45.988,49.37
15,46.644,49.86
16,47.486,48.85
17,48.06,49.92
18,48.456,52.5
19,49.036,48.82
20,49.2,52.47
21,49.768,51.87
22,50.226,50.76
23,50.68,54.38
24,50.9,51.97
25,51.134,52.92
26,51.58,55.25
27,52.152,53.8
28,52.0,53.45
29,52.752,54.9
30,53.042,52.61
31,52.874,54.55
32,53.084,56.14
33,53.49,53.92
34,53.488,55.32
35,53.828,54.54
36,54.016,56.72
37,53.504,55.4
38,54.542,57.05
39,54.338,56.36
40,54.404,48.0
41,54.282,54.68
42,54.426,55.28
43,54.56,52.97
44,54.6,56.31
45,54.974,58.12
46,55.174,54.44
47,55.516,56.31
48,55.592,57.1
49,55.704,57.82
