epoch,train_accuracy,validation_accuracy
0,48.53125,48.25
1,53.375,48.125
2,55.25,55.75
3,58.84375,57.25
4,59.0625,61.25
5,61.0625,53.75
6,61.34375,67.375
7,63.28125,64.75
8,65.40625,66.125
9,64.9375,65.875
10,63.34375,67.125
11,67.0625,69.375
12,67.625,65.75
13,66.875,67.125
14,67.15625,67.875
15,67.96875,67.25
16,66.21875,69.5
17,67.875,69.75
18,67.875,70.25
19,68.9375,70.875
20,69.53125,69.125
21,69.34375,71.0
22,69.75,70.375
23,69.96875,70.5
24,69.21875,65.75
25,70.34375,70.625
26,70.125,69.125
27,70.625,69.625
28,70.78125,69.25
29,71.125,69.5
30,69.40625,74.25
31,72.0625,74.125
32,71.1875,70.75
33,72.03125,68.25
34,69.53125,67.25
35,70.5625,71.25
36,71.6875,72.5
37,70.09375,73.375
38,70.75,71.125
39,71.78125,73.75
40,72.6875,70.25
41,73.0625,73.375
42,72.90625,68.0
43,71.28125,71.5
44,70.65625,69.375
45,72.125,74.625
46,72.40625,72.5
47,74.34375,74.5
48,73.875,73.875
49,72.9375,76.0
50,74.4375,74.75
51,74.21875,75.25
52,74.25,73.625
53,73.125,68.75
54,74.0,72.875
55,74.46875,72.75
56,73.28125,72.0
57,75.25,74.25
58,75.34375,75.75
59,75.9375,71.875
60,75.0,74.5
61,76.40625,76.0
62,75.28125,76.0
63,75.25,76.25
64,75.40625,73.0
65,74.65625,75.75
66,74.25,74.125
67,75.75,74.0
68,75.4375,75.25
69,76.03125,74.0
70,74.34375,73.75
71,76.03125,74.25
72,75.34375,73.875
73,76.28125,76.5
74,76.9375,77.0
75,77.75,75.0
76,77.8125,73.0
77,76.71875,77.0
78,78.40625,76.375
79,76.875,75.0
80,76.6875,73.625
81,77.09375,77.25
82,78.40625,75.875
83,77.96875,73.625
84,76.5625,71.5
85,77.84375,74.75
86,77.25,76.875
87,77.75,79.25
88,79.4375,74.875
89,78.4375,79.75
90,77.96875,74.875
91,78.5,79.25
92,79.40625,77.75
93,80.375,75.875
94,78.15625,80.125
95,79.3125,77.5
96,79.78125,78.0
97,80.34375,78.75
98,78.34375,79.125
99,80.65625,79.875
100,80.125,78.875
101,79.625,78.375
102,80.3125,79.0
103,80.59375,79.5
104,81.0,80.5
105,81.5625,80.125
106,80.53125,81.25
107,81.21875,79.625
108,81.90625,77.125
109,80.5625,76.375
110,80.71875,76.75
111,80.625,80.0
112,80.75,79.0
113,81.71875,79.875
114,81.0,82.125
115,81.5625,81.0
116,82.6875,80.375
117,81.625,78.0
118,81.46875,77.25
119,82.28125,78.125
120,83.09375,80.875
121,81.5625,80.0
122,81.875,77.75
123,82.0,81.0
124,83.0625,80.0
125,82.96875,81.0
126,83.28125,78.625
127,82.625,78.75
128,82.875,80.5
129,82.90625,81.25
130,83.875,80.0
131,83.71875,80.5
132,83.4375,78.625
133,82.96875,77.875
134,84.0,80.625
135,83.46875,80.625
136,82.34375,81.875
137,83.90625,80.625
138,83.8125,82.375
139,83.3125,79.125
140,86.09375,82.5
141,84.78125,80.875
142,84.40625,80.875
143,86.1875,83.625
144,85.34375,82.375
145,85.09375,78.375
146,83.5,82.0
147,85.4375,82.875
148,85.4375,82.25
149,85.03125,79.875
