epoch,train_accuracy,validation_accuracy
0,34.78125,35.625
1,37.96875,40.875
2,38.3125,40.25
3,39.65625,37.5
4,39.28125,40.875
5,38.6875,38.5
6,40.9375,40.5
7,40.5625,41.875
8,40.78125,42.0
9,41.84375,40.25
10,42.0625,39.125
11,42.5,41.125
12,41.8125,42.625
13,43.6875,42.5
14,43.25,43.125
15,43.875,43.125
16,44.0,42.125
17,45.34375,43.375
18,45.125,44.5
19,44.90625,44.875
20,46.21875,43.5
21,46.0,43.25
22,47.0,44.625
23,47.21875,44.75
24,46.34375,44.375
25,47.75,45.875
26,47.625,45.25
27,47.71875,45.375
28,46.90625,46.5
29,48.125,46.625
30,48.21875,46.625
31,48.09375,46.5
32,47.5,46.875
33,47.78125,46.5
34,48.46875,44.5
35,47.5,47.125
36,48.125,45.125
37,47.84375,46.375
38,48.59375,46.75
39,48.59375,45.5
40,48.15625,46.625
41,48.5,47.625
42,48.28125,46.625
43,48.125,46.125
44,48.625,46.25
45,48.0,44.625
46,47.75,46.0
47,49.15625,46.125
48,47.96875,45.75
49,48.28125,45.75
50,48.09375,47.0
51,48.34375,45.25
52,48.71875,46.625
53,48.28125,46.875
54,48.6875,46.25
55,48.0625,46.625
56,48.625,46.625
57,48.8125,45.875
58,48.375,47.625
59,48.40625,45.25
60,48.3125,46.625
61,47.96875,47.125
62,47.96875,44.625
63,49.125,46.375
64,48.375,46.625
65,48.6875,46.375
66,48.4375,46.5
67,48.0,46.25
68,48.15625,46.25
69,48.09375,46.25
70,49.0,46.375
71,48.46875,45.375
72,48.0625,46.25
73,47.96875,45.375
74,48.75,46.125
75,48.03125,45.5
76,48.28125,46.0
77,48.90625,45.25
78,48.75,46.125
79,48.34375,45.625
80,48.4375,47.875
81,48.03125,44.625
82,49.15625,46.75
83,48.53125,45.25
84,48.3125,47.375
85,48.0625,46.0
86,48.65625,46.875
87,48.46875,45.375
88,48.0625,45.875
89,47.59375,47.375
90,47.90625,46.625
91,48.75,45.75
92,48.40625,44.75
93,49.25,46.625
94,48.0625,46.125
95,48.25,45.875
96,48.90625,46.625
97,47.5625,46.0
98,48.875,46.625
99,48.28125,46.75
100,47.84375,45.625
101,48.65625,47.5
102,48.59375,45.375
103,48.34375,47.25
104,48.46875,47.125
105,48.8125,46.875
106,48.125,46.875
107,48.15625,46.5
108,48.03125,44.75
109,48.78125,45.75
110,48.375,46.375
111,48.5,46.0
112,48.21875,47.125
113,47.65625,47.25
114,48.3125,47.0
115,48.46875,45.75
116,49.09375,45.75
117,48.5,47.625
118,48.46875,46.5
119,48.3125,46.25
120,47.5625,46.25
121,49.25,44.75
122,48.5625,46.125
123,48.09375,46.75
124,49.53125,45.5
125,48.28125,46.125
126,48.65625,46.5
127,48.28125,47.625
128,47.78125,46.0
129,47.46875,46.5
130,47.6875,46.5
131,47.875,47.625
132,48.375,47.25
133,48.25,46.875
134,48.09375,46.25
135,48.375,45.75
136,48.9375,46.75
137,48.53125,46.375
138,47.78125,47.375
139,47.4375,47.25
140,48.375,46.75
141,48.46875,46.625
142,48.21875,46.375
143,48.84375,45.25
144,47.4375,47.625
145,48.90625,45.25
146,48.875,46.875
147,47.875,44.625
148,48.15625,47.0
149,48.0,46.25
