epoch,train_accuracy,validation_accuracy
0,44.5,58.375
1,64.53125,63.625
2,67.09375,67.25
3,68.125,67.125
4,68.875,63.0
5,70.53125,69.0
6,72.25,70.625
7,71.28125,73.25
8,72.5,73.375
9,73.09375,71.5
10,74.0625,73.25
11,73.4375,74.375
12,76.125,78.75
13,76.84375,77.5
14,77.09375,77.75
15,79.1875,79.0
16,79.53125,79.125
17,80.3125,81.0
18,79.28125,80.125
19,79.0625,79.375
20,79.96875,79.375
21,80.3125,80.375
22,81.3125,79.875
23,80.8125,80.125
24,80.75,79.5
25,80.28125,80.625
26,81.71875,80.25
27,81.84375,80.0
28,81.4375,81.125
29,81.75,79.0
30,81.0,81.25
31,80.625,82.125
32,81.375,81.75
33,81.34375,81.25
34,81.46875,81.0
35,82.15625,81.25
36,81.375,80.5
37,81.375,81.625
38,81.125,79.75
39,81.75,81.375
40,80.96875,79.25
41,81.40625,79.75
42,80.75,79.5
43,81.71875,78.625
44,81.96875,81.25
45,81.3125,81.0
46,80.75,81.125
47,80.6875,80.875
48,81.09375,82.75
49,81.8125,79.875
50,81.75,79.25
51,81.75,82.125
52,81.1875,81.125
53,81.5625,80.625
54,81.03125,81.0
55,81.6875,79.5
56,81.25,80.375
57,81.9375,80.625
58,81.25,80.5
59,82.25,80.625
60,81.59375,81.5
61,81.59375,81.375
62,81.625,80.375
63,81.0625,79.125
64,81.15625,81.0
65,80.90625,80.75
66,81.59375,80.25
67,81.4375,81.25
68,81.21875,80.875
69,81.75,81.75
70,81.0,81.25
71,81.71875,80.25
72,81.84375,81.0
73,81.78125,80.125
74,81.5,79.875
75,81.46875,82.0
76,81.46875,80.25
77,81.09375,78.75
78,81.75,79.25
79,81.46875,81.625
80,80.90625,79.75
81,80.71875,80.875
82,81.96875,80.0
83,81.28125,80.625
84,81.65625,81.25
85,81.6875,80.75
86,81.0625,81.25
87,80.53125,81.75
88,82.53125,80.0
89,80.875,81.0
90,82.1875,81.125
91,81.5625,80.625
92,81.375,80.625
93,80.96875,80.5
94,81.78125,81.125
95,81.25,81.25
96,81.5625,80.5
97,81.625,79.875
98,81.0625,81.25
99,81.28125,80.25
100,81.375,80.0
101,81.8125,80.875
102,81.5,81.625
103,81.375,80.75
104,80.9375,80.125
105,81.9375,81.5
106,81.53125,81.75
107,80.40625,80.875
108,81.0625,81.75
109,81.90625,82.375
110,81.6875,81.875
111,80.71875,81.25
112,80.65625,81.375
113,81.34375,80.25
114,81.5,80.625
115,81.28125,80.0
116,81.28125,81.0
117,81.96875,81.75
118,80.90625,81.25
119,81.5625,80.75
120,81.75,81.625
121,81.28125,82.125
122,81.46875,81.25
123,81.75,81.875
124,82.03125,80.625
125,81.9375,79.125
126,81.15625,81.0
127,81.1875,80.125
128,82.25,81.125
129,81.40625,80.875
130,81.78125,80.375
131,81.75,81.125
132,81.3125,80.25
133,81.28125,79.25
134,81.46875,81.25
135,80.78125,81.375
136,81.75,80.125
137,81.3125,81.375
138,81.15625,79.875
139,80.96875,79.875
140,81.40625,81.375
141,81.78125,82.375
142,81.71875,81.125
143,81.53125,81.375
144,81.40625,80.625
145,82.5,79.75
146,81.40625,81.25
147,81.09375,81.875
148,81.65625,81.375
149,81.90625,81.375
