epoch,train_accuracy,validation_accuracy
0,36.25,36.75
1,36.03125,33.25
2,33.28125,37.875
3,36.78125,26.25
4,38.65625,40.125
5,38.96875,42.625
6,39.78125,39.125
7,39.59375,36.0
8,41.46875,44.375
9,42.96875,41.625
10,43.84375,42.5
11,42.4375,35.0
12,45.71875,43.25
13,44.6875,38.125
14,43.84375,48.0
15,49.09375,51.25
16,50.1875,50.375
17,53.1875,53.5
18,54.1875,56.125
19,54.65625,56.5
20,56.6875,58.5
21,56.59375,57.25
22,57.75,58.875
23,58.6875,60.0
24,58.78125,61.25
25,60.90625,59.25
26,60.4375,61.875
27,61.59375,59.875
28,61.53125,59.875
29,61.34375,62.0
30,61.40625,63.625
31,62.15625,63.0
32,62.46875,61.625
33,62.09375,62.375
34,63.3125,62.625
35,61.4375,63.375
36,62.0625,63.625
37,61.9375,62.625
38,62.8125,63.625
39,62.09375,62.0
40,63.15625,63.0
41,62.28125,64.625
42,62.4375,63.125
43,62.09375,62.875
44,62.03125,63.625
45,62.46875,62.875
46,62.6875,65.0
47,62.125,64.625
48,62.6875,62.875
49,62.53125,62.625
50,62.625,63.0
51,62.25,63.5
52,62.78125,62.875
53,63.28125,62.75
54,63.1875,63.875
55,62.28125,63.125
56,63.8125,62.375
57,62.4375,64.5
58,63.0625,62.75
59,62.65625,62.75
60,62.46875,64.375
61,62.75,63.125
62,61.34375,65.75
63,63.28125,63.25
64,63.125,63.875
65,62.0625,62.875
66,62.0625,63.625
67,62.21875,61.5
68,62.625,63.625
69,62.84375,64.75
70,61.75,64.5
71,62.75,63.375
72,62.75,63.5
73,63.34375,64.0
74,63.75,63.5
75,62.0,63.0
76,62.53125,63.5
77,62.375,65.25
78,62.53125,63.0
79,62.25,62.5
80,62.59375,65.0
81,62.0,61.75
82,61.4375,62.375
83,61.9375,63.75
84,62.3125,62.75
85,63.40625,63.5
86,62.625,62.625
87,62.59375,62.875
88,62.34375,62.25
89,63.34375,63.625
90,62.09375,62.75
91,62.40625,62.75
92,61.875,63.75
93,63.9375,63.875
94,63.25,63.0
95,62.28125,63.625
96,61.1875,62.875
97,63.375,63.25
98,62.0625,65.375
99,62.96875,62.5
100,62.71875,62.5
101,63.34375,62.75
102,62.71875,64.625
103,62.5625,61.125
104,63.0,63.25
105,61.8125,62.75
106,62.71875,63.75
107,61.3125,62.125
108,62.96875,63.25
109,62.75,61.875
110,62.40625,63.25
111,62.65625,63.25
112,62.59375,64.375
113,63.375,62.75
114,63.90625,64.0
115,62.28125,63.625
116,62.28125,64.125
117,63.09375,63.875
118,62.84375,63.625
119,62.3125,63.25
120,63.90625,62.25
121,62.5625,62.875
122,62.46875,64.875
123,62.53125,64.625
124,62.84375,61.75
125,61.3125,64.5
126,62.40625,64.5
127,62.75,62.5
128,62.84375,62.0
129,62.53125,63.25
130,62.875,62.0
131,62.5625,63.625
132,62.0,64.75
133,62.28125,62.625
134,62.40625,62.875
135,61.84375,62.5
136,62.46875,62.5
137,63.03125,64.75
138,62.8125,64.0
139,62.96875,63.375
140,62.1875,63.375
141,62.875,63.375
142,62.5,63.375
143,63.53125,63.25
144,61.53125,62.25
145,62.9375,63.125
146,63.71875,65.25
147,61.78125,62.25
148,62.78125,62.75
149,62.875,64.125
