epoch,train_accuracy,validation_accuracy
0,35.5,31.875
1,35.8125,38.5
2,36.53125,38.0
3,37.59375,39.375
4,38.0625,40.5
5,38.375,40.625
6,33.03125,34.625
7,35.65625,37.5
8,37.875,39.5
9,38.875,39.625
10,38.125,38.25
11,37.21875,37.875
12,39.0,39.625
13,40.0,40.375
14,38.5,41.125
15,39.0625,39.125
16,39.125,40.625
17,40.15625,40.375
18,39.46875,39.875
19,39.90625,41.75
20,39.34375,39.125
21,38.125,37.875
22,37.40625,39.0
23,38.15625,39.375
24,38.65625,37.75
25,38.28125,41.0
26,39.75,41.0
27,39.375,40.875
28,40.5625,41.0
29,39.5,41.0
30,40.1875,41.375
31,40.15625,41.125
32,40.15625,41.625
33,40.28125,40.75
34,40.21875,41.5
35,40.125,41.625
36,39.125,36.0
37,39.53125,41.625
38,39.0,39.5
39,37.4375,37.5
40,35.59375,40.125
41,39.6875,41.25
42,40.03125,43.125
43,40.1875,42.125
44,39.78125,41.875
45,40.1875,41.875
46,40.0625,41.5
47,40.71875,42.0
48,40.46875,43.125
49,40.96875,42.375
50,39.9375,39.625
51,40.34375,41.5
52,40.78125,41.0
53,40.1875,41.125
54,36.59375,33.75
55,38.15625,41.25
56,40.4375,40.125
57,39.90625,42.125
58,40.0625,41.875
59,39.375,41.0
60,40.34375,43.25
61,40.9375,42.5
62,40.21875,41.25
63,40.96875,41.875
64,40.9375,43.875
65,41.78125,42.5
66,41.46875,42.875
67,41.3125,42.375
68,42.375,46.25
69,42.78125,45.625
70,43.53125,46.625
71,41.28125,36.375
72,40.3125,42.25
73,41.25,42.125
74,41.84375,42.5
75,37.625,35.75
76,42.0,44.125
77,43.8125,47.75
78,44.21875,46.5
79,44.4375,44.625
80,43.40625,46.625
81,44.5,46.625
82,43.875,47.375
83,43.6875,42.875
84,45.21875,46.5
85,44.90625,46.5
86,45.25,48.25
87,47.28125,50.375
88,44.59375,47.25
89,47.21875,47.875
90,46.125,46.875
91,48.40625,48.5
92,47.375,44.375
93,44.6875,47.875
94,45.53125,47.625
95,46.03125,47.125
96,46.34375,50.5
97,51.125,52.5
98,49.4375,42.625
99,49.59375,48.25
100,51.5,50.0
101,53.21875,54.5
102,54.8125,50.125
103,53.84375,52.625
104,53.75,52.125
105,54.0,57.25
106,56.53125,57.875
107,57.9375,57.0
108,57.65625,55.875
109,57.25,57.625
110,59.0625,57.25
111,57.3125,56.0
112,59.28125,58.375
113,58.6875,56.5
114,58.65625,59.375
115,61.3125,60.375
116,60.5,60.875
117,60.65625,60.375
118,62.375,59.375
119,59.4375,55.5
120,59.75,61.75
121,60.375,65.25
122,61.5625,61.875
123,61.9375,60.25
124,63.15625,61.625
125,62.84375,62.625
126,62.375,63.25
127,64.59375,62.125
128,63.5,63.875
129,63.78125,63.625
130,64.75,62.375
131,64.9375,64.375
132,65.03125,64.5
133,64.59375,63.25
134,60.84375,62.625
135,62.625,64.75
136,63.15625,65.0
137,64.125,61.5
138,63.0625,65.25
139,64.96875,63.5
140,66.0625,67.375
141,66.6875,66.125
142,66.40625,70.0
143,65.8125,63.875
144,64.625,66.5
145,65.65625,66.125
146,66.59375,67.75
147,67.03125,63.875
148,64.6875,61.625
149,66.0625,65.625
