epoch,train_accuracy,validation_accuracy
0,43.25,39.625
1,50.65625,46.875
2,50.53125,53.25
3,52.125,54.0
4,57.0,57.125
5,59.59375,62.0
6,61.875,56.625
7,60.65625,60.625
8,62.8125,67.5
9,64.34375,64.5
10,64.875,64.875
11,63.90625,66.125
12,65.5625,65.875
13,64.90625,65.375
14,67.03125,66.375
15,67.0,68.875
16,69.1875,64.375
17,69.0,64.625
18,67.90625,66.625
19,69.59375,72.25
20,68.9375,67.625
21,68.40625,65.75
22,68.875,70.25
23,68.46875,68.75
24,69.84375,69.75
25,70.0,66.75
26,70.84375,74.75
27,70.5625,68.75
28,70.09375,72.625
29,68.1875,68.5
30,70.09375,71.0
31,72.0625,69.25
32,70.8125,70.625
33,72.375,71.0
34,73.34375,70.5
35,73.25,70.375
36,71.125,72.625
37,72.53125,72.5
38,71.53125,72.75
39,73.25,68.25
40,70.71875,73.875
41,73.375,71.25
42,70.40625,69.0
43,72.1875,73.375
44,73.1875,72.25
45,74.125,74.0
46,75.21875,74.25
47,74.375,75.0
48,73.125,69.75
49,73.3125,73.25
50,74.4375,72.875
51,74.125,73.875
52,74.46875,76.375
53,76.15625,74.375
54,74.3125,75.5
55,75.3125,76.5
56,75.8125,74.75
57,72.71875,72.25
58,75.71875,79.0
59,75.90625,75.375
60,77.21875,74.5
61,76.0,72.875
62,75.4375,76.0
63,76.15625,76.125
64,75.09375,76.5
65,76.65625,74.625
66,74.78125,75.75
67,76.40625,76.0
68,78.09375,79.0
69,78.21875,78.5
70,78.28125,76.75
71,77.65625,76.375
72,76.28125,78.75
73,78.25,79.0
74,77.375,77.25
75,78.5,72.125
76,77.625,76.25
77,77.65625,76.75
78,77.28125,73.625
79,78.90625,75.125
80,76.8125,76.375
81,76.9375,78.75
82,79.1875,76.625
83,78.5625,78.75
84,79.125,77.25
85,78.8125,80.375
86,78.6875,77.875
87,79.0,77.125
88,79.09375,79.75
89,79.4375,77.5
90,79.75,79.125
91,80.21875,77.125
92,81.625,78.5
93,81.21875,77.125
94,80.15625,76.25
95,79.3125,80.625
96,80.15625,79.125
97,80.59375,79.375
98,79.34375,78.625
99,80.875,81.0
100,81.75,74.25
101,80.3125,80.625
102,81.1875,76.875
103,80.28125,79.375
104,80.5625,80.25
105,82.09375,80.5
106,81.25,79.125
107,82.1875,81.0
108,81.09375,76.625
109,79.625,78.625
110,82.6875,77.5
111,82.21875,80.125
112,81.46875,80.5
113,81.25,80.75
114,83.0625,80.625
115,82.65625,80.875
116,83.46875,80.25
117,80.125,78.375
118,82.5,80.875
119,81.8125,79.75
120,81.84375,79.5
121,82.09375,79.75
122,83.53125,80.125
123,83.9375,80.25
124,83.8125,79.875
125,82.625,78.75
126,81.625,80.625
127,82.25,82.625
128,84.4375,79.75
129,82.875,76.125
130,82.3125,78.875
131,82.75,80.25
132,81.84375,82.0
133,84.625,82.5
134,84.46875,81.75
135,84.25,80.375
136,83.90625,81.5
137,83.875,83.375
138,84.09375,81.625
139,83.75,82.875
140,83.5,80.375
141,85.59375,81.125
142,85.09375,83.375
143,85.5625,81.375
144,84.28125,79.875
145,85.5,82.5
146,85.625,79.75
147,85.34375,82.5
148,85.5625,80.875
149,86.0,81.875
