epoch,train_accuracy,validation_accuracy
0,24.875,25.0
1,25.0,25.0
2,25.625,23.75
3,25.3125,23.75
4,25.3125,23.75
5,25.3125,23.75
6,25.3125,23.75
7,25.0625,23.75
8,25.3125,23.75
9,25.3125,23.75
10,24.5625,26.25
11,24.6875,26.25
12,24.6875,26.25
13,24.6875,26.25
14,24.6875,26.25
15,24.6875,26.25
16,24.6875,26.25
17,24.6875,26.25
18,24.84375,25.0
19,24.125,23.75
20,24.28125,25.0
21,25.3125,25.0
22,24.5,26.25
23,25.28125,25.0
24,23.65625,25.0
25,25.0,25.0
26,25.0,25.0
27,25.0,25.0
28,24.25,25.0
29,25.0,25.0
30,25.0,23.75
31,24.65625,25.0
32,25.21875,23.75
33,25.3125,23.75
34,24.5,23.75
35,25.3125,23.75
36,25.3125,23.75
37,25.3125,23.75
38,25.3125,23.75
39,25.3125,23.75
40,25.3125,23.75
41,25.3125,23.75
42,25.3125,23.75
43,25.3125,23.75
44,25.3125,23.75
45,25.3125,23.75
46,25.3125,23.75
47,25.3125,23.75
48,25.3125,23.75
49,25.3125,23.75
50,25.3125,23.75
51,25.3125,23.75
52,25.3125,23.75
53,25.3125,23.75
54,25.3125,23.75
55,25.3125,23.75
56,25.3125,23.75
57,25.3125,23.75
58,25.3125,23.75
59,25.3125,23.75
60,25.3125,23.75
61,25.3125,23.75
62,25.3125,23.75
63,25.3125,23.75
64,25.3125,23.75
65,25.3125,23.75
66,25.3125,23.75
67,25.3125,23.75
68,25.3125,23.75
69,25.3125,23.75
70,25.3125,23.75
71,25.3125,23.75
72,25.3125,23.75
73,25.3125,23.75
74,25.3125,23.75
75,25.3125,23.75
76,25.3125,23.75
77,25.3125,23.75
78,25.3125,23.75
79,25.3125,23.75
80,25.3125,23.75
81,25.3125,23.75
82,25.3125,23.75
83,25.3125,23.75
84,25.3125,23.75
85,25.3125,23.75
86,25.3125,23.75
87,25.3125,23.75
88,25.3125,23.75
89,25.3125,23.75
90,25.3125,23.75
91,25.3125,23.75
92,25.3125,23.75
93,25.3125,23.75
94,25.3125,23.75
95,25.3125,23.75
96,25.3125,23.75
97,25.3125,23.75
98,25.3125,23.75
99,25.3125,23.75
100,25.3125,23.75
101,25.3125,23.75
102,25.3125,23.75
103,25.3125,23.75
104,25.3125,23.75
105,25.3125,23.75
106,25.3125,23.75
107,25.3125,23.75
108,25.3125,23.75
109,25.3125,23.75
110,25.3125,23.75
111,25.3125,23.75
112,25.3125,23.75
113,25.3125,23.75
114,25.3125,23.75
115,25.3125,23.75
116,25.3125,23.75
117,25.3125,23.75
118,25.3125,23.75
119,25.3125,23.75
120,25.3125,23.75
121,25.3125,23.75
122,25.3125,23.75
123,25.3125,23.75
124,25.3125,23.75
125,25.3125,23.75
126,25.3125,23.75
127,25.3125,23.75
128,25.3125,23.75
129,25.3125,23.75
130,25.3125,23.75
131,25.3125,23.75
132,25.3125,23.75
133,25.3125,23.75
134,25.3125,23.75
135,25.3125,23.75
136,25.3125,23.75
137,25.3125,23.75
138,25.3125,23.75
139,25.3125,23.75
140,25.3125,23.75
141,25.3125,23.75
142,25.3125,23.75
143,25.3125,23.75
144,25.3125,23.75
145,25.3125,23.75
146,25.3125,23.75
147,25.3125,23.75
148,25.3125,23.75
149,25.3125,23.75
