epoch,train_accuracy,validation_accuracy
0,43.5625,55.875
1,57.34375,55.125
2,58.53125,57.625
3,59.15625,56.25
4,60.0625,59.375
5,61.5,59.125
6,62.96875,60.125
7,62.25,59.75
8,62.125,59.25
9,62.53125,60.625
10,62.40625,63.0
11,63.0625,62.25
12,63.21875,62.5
13,64.8125,64.0
14,65.53125,63.625
15,66.46875,65.375
16,66.75,64.0
17,66.875,64.0
18,66.78125,64.375
19,66.375,63.25
20,66.3125,64.875
21,67.0,65.0
22,67.15625,65.125
23,66.375,65.5
24,67.25,64.625
25,67.5,65.125
26,67.5,65.25
27,67.90625,65.375
28,67.71875,65.25
29,67.0625,65.375
30,67.4375,64.625
31,67.25,64.375
32,67.15625,65.5
33,67.75,65.375
34,67.40625,65.25
35,67.625,65.125
36,67.59375,65.375
37,68.0625,65.0
38,67.21875,65.625
39,67.71875,65.0
40,67.6875,64.875
41,67.53125,64.875
42,67.59375,64.75
43,67.59375,65.125
44,68.40625,64.875
45,67.53125,65.375
46,67.46875,64.625
47,67.03125,65.125
48,67.40625,65.125
49,68.09375,65.25
50,67.5625,65.75
51,67.71875,65.5
52,67.9375,65.25
53,67.9375,65.0
54,68.0625,65.25
55,67.8125,65.75
56,67.65625,65.0
57,67.78125,65.25
58,67.96875,64.5
59,67.59375,65.5
60,67.46875,65.375
61,67.59375,65.125
62,67.59375,65.75
63,67.78125,66.125
64,67.8125,65.75
65,67.625,65.5
66,67.5,64.375
67,67.96875,64.625
68,67.4375,65.25
69,67.65625,65.125
70,67.34375,65.25
71,68.09375,65.875
72,68.25,65.375
73,67.46875,64.875
74,68.0625,65.0
75,67.59375,64.5
76,67.53125,65.125
77,67.6875,65.125
78,67.53125,65.0
79,67.6875,65.75
80,67.4375,64.375
81,67.5625,65.125
82,67.6875,65.25
83,68.0625,65.625
84,67.53125,64.625
85,68.0,65.0
86,67.5,65.0
87,67.25,65.875
88,68.15625,64.5
89,67.5,65.375
90,67.8125,64.625
91,67.71875,65.625
92,67.78125,65.75
93,67.5,64.0
94,67.53125,64.625
95,67.84375,66.25
96,67.40625,65.75
97,67.65625,66.0
98,67.875,65.5
99,67.8125,65.625
100,67.625,65.5
101,67.6875,64.75
102,67.65625,65.375
103,67.4375,65.0
104,67.5,64.625
105,67.875,65.625
106,67.71875,64.625
107,68.03125,65.375
108,67.4375,64.875
109,67.5,65.75
110,67.34375,66.25
111,67.875,65.25
112,67.28125,65.0
113,67.25,66.0
114,67.8125,65.375
115,68.0625,65.375
116,68.0,65.625
117,67.46875,64.875
118,67.78125,64.75
119,67.78125,65.625
120,68.3125,64.875
121,67.625,64.125
122,67.1875,65.125
123,67.6875,65.625
124,67.125,65.375
125,67.65625,65.375
126,67.6875,65.375
127,67.96875,64.5
128,67.84375,66.375
129,68.15625,65.25
130,68.1875,64.875
131,67.5625,65.125
132,67.78125,64.75
133,67.53125,65.375
134,68.375,64.875
135,66.9375,65.5
136,67.875,64.625
137,67.0625,64.75
138,67.375,65.375
139,67.6875,65.5
140,67.15625,64.75
141,68.3125,64.625
142,67.65625,64.75
143,67.4375,65.875
144,67.96875,65.5
145,67.6875,64.125
146,67.34375,64.875
147,67.6875,64.875
148,67.6875,66.125
149,67.25,65.625
