epoch,train_accuracy,validation_accuracy
0,37.21875,33.375
1,36.71875,40.75
2,37.46875,39.875
3,37.40625,40.5
4,38.4375,39.875
5,41.46875,40.375
6,42.03125,42.375
7,43.59375,46.5
8,48.875,47.75
9,49.4375,47.75
10,49.90625,49.625
11,47.90625,48.125
12,49.9375,50.5
13,52.4375,53.25
14,53.8125,54.375
15,54.625,54.125
16,55.0,54.375
17,56.0,55.0
18,55.5625,56.25
19,56.25,55.5
20,56.34375,55.5
21,55.96875,57.375
22,56.96875,55.75
23,56.875,55.25
24,56.90625,56.875
25,56.46875,57.5
26,56.8125,56.0
27,56.53125,57.0
28,56.90625,57.75
29,56.65625,56.125
30,56.65625,56.375
31,56.71875,56.125
32,56.46875,57.75
33,57.375,56.75
34,57.375,56.5
35,57.3125,55.375
36,56.5,57.0
37,57.46875,56.5
38,56.84375,56.875
39,57.25,57.25
40,57.1875,56.25
41,57.0625,56.375
42,57.1875,55.125
43,57.0,56.875
44,57.34375,56.75
45,57.28125,56.875
46,57.1875,57.0
47,57.0,57.0
48,56.78125,57.5
49,56.9375,56.875
50,57.625,56.25
51,57.71875,56.75
52,57.28125,55.875
53,57.03125,55.875
54,57.53125,57.75
55,57.15625,56.5
56,57.96875,57.75
57,57.3125,57.5
58,56.8125,55.125
59,57.71875,57.0
60,57.1875,56.75
61,58.125,56.375
62,57.21875,57.25
63,56.96875,56.25
64,57.125,56.625
65,56.5,56.5
66,57.09375,57.25
67,57.25,57.25
68,56.53125,57.125
69,57.34375,56.25
70,57.84375,56.625
71,56.875,55.875
72,57.03125,56.125
73,57.28125,55.875
74,57.375,56.25
75,56.65625,57.25
76,57.21875,58.0
77,57.3125,57.125
78,56.59375,57.375
79,57.15625,56.5
80,56.8125,55.75
81,57.09375,56.375
82,56.40625,57.0
83,56.71875,57.125
84,57.46875,57.25
85,56.75,56.375
86,57.25,56.75
87,57.3125,56.25
88,57.375,56.5
89,57.53125,55.75
90,56.5,56.625
91,57.0625,57.625
92,56.65625,56.875
93,57.625,56.25
94,56.84375,56.875
95,57.03125,56.375
96,57.34375,56.875
97,57.0,56.625
98,56.65625,57.375
99,57.46875,57.5
100,57.15625,56.375
101,57.46875,56.875
102,57.84375,55.875
103,56.90625,56.375
104,56.6875,56.5
105,56.9375,57.125
106,57.3125,56.0
107,57.25,57.25
108,56.6875,56.75
109,56.75,56.5
110,57.59375,56.875
111,57.53125,58.0
112,56.6875,56.25
113,56.8125,57.125
114,57.5,56.375
115,57.34375,56.0
116,57.09375,56.875
117,57.125,55.375
118,56.5,55.875
119,56.875,57.375
120,57.3125,56.875
121,57.3125,56.125
122,56.53125,56.5
123,56.96875,57.625
124,56.6875,56.125
125,57.40625,56.125
126,56.78125,56.375
127,57.0,57.125
128,56.8125,56.375
129,57.21875,56.25
130,58.15625,55.5
131,57.71875,56.125
132,56.90625,56.875
133,57.03125,57.375
134,56.875,56.25
135,57.28125,55.625
136,56.53125,55.75
137,56.875,57.125
138,56.90625,56.375
139,57.1875,57.25
140,57.6875,56.25
141,57.21875,56.0
142,57.03125,56.875
143,57.5,55.375
144,57.15625,57.625
145,57.375,55.75
146,57.09375,56.875
147,56.09375,56.25
148,57.03125,56.875
149,57.0625,56.375
