epoch,train_accuracy,validation_accuracy
0,46.8125,59.25
1,64.34375,66.25
2,65.34375,68.25
3,69.3125,66.125
4,70.59375,70.0
5,70.5,69.375
6,71.90625,69.5
7,72.34375,70.375
8,72.8125,72.125
9,74.0,71.375
10,74.15625,73.5
11,74.15625,73.5
12,76.78125,75.75
13,77.375,76.125
14,78.375,76.125
15,78.8125,78.125
16,79.0625,77.25
17,79.5625,75.75
18,79.5625,78.0
19,78.5625,78.0
20,79.53125,77.875
21,80.59375,77.875
22,80.6875,79.0
23,80.28125,78.125
24,80.71875,78.375
25,81.21875,78.25
26,80.8125,78.125
27,80.8125,78.0
28,80.875,78.75
29,80.84375,78.625
30,81.09375,78.0
31,81.46875,79.625
32,80.84375,78.25
33,80.90625,80.5
34,80.5625,78.5
35,81.15625,80.5
36,81.71875,79.5
37,80.96875,79.125
38,81.78125,79.25
39,80.71875,78.75
40,81.84375,79.125
41,80.6875,79.0
42,82.0,78.375
43,80.8125,79.125
44,81.21875,78.5
45,81.375,78.0
46,81.34375,78.25
47,80.875,78.875
48,81.3125,78.625
49,81.03125,78.5
50,81.25,77.625
51,80.65625,78.875
52,81.125,78.125
53,81.5,78.25
54,81.375,79.375
55,81.84375,79.625
56,80.90625,78.0
57,81.84375,78.125
58,80.96875,78.0
59,82.3125,78.625
60,81.0625,77.5
61,81.21875,78.0
62,81.15625,78.375
63,81.40625,79.125
64,81.4375,78.625
65,81.25,77.0
66,80.875,76.625
67,81.625,79.75
68,80.90625,76.5
69,81.0,77.875
70,81.09375,78.625
71,81.84375,77.5
72,81.09375,79.125
73,81.625,77.75
74,81.09375,78.25
75,81.53125,77.0
76,81.21875,77.25
77,82.03125,80.125
78,80.78125,79.0
79,79.78125,78.5
80,81.3125,78.75
81,81.21875,78.625
82,80.71875,78.25
83,81.625,78.625
84,81.28125,78.625
85,81.28125,78.75
86,81.5,78.75
87,81.125,77.125
88,81.125,79.75
89,81.0625,79.25
90,81.25,76.75
91,81.59375,79.0
92,81.53125,79.125
93,80.46875,77.125
94,81.0,80.25
95,81.34375,78.25
96,81.3125,77.75
97,81.25,77.375
98,81.3125,78.375
99,81.1875,79.0
100,81.46875,77.0
101,80.5625,78.125
102,81.09375,77.5
103,81.40625,77.375
104,81.34375,79.5
105,81.375,77.25
106,81.125,79.625
107,81.46875,80.0
108,81.6875,78.125
109,81.9375,78.75
110,81.375,78.375
111,81.03125,78.25
112,80.625,78.75
113,81.59375,79.25
114,82.03125,79.0
115,81.03125,78.25
116,81.09375,77.875
117,81.5,79.5
118,80.78125,78.875
119,80.71875,77.625
120,81.5625,79.875
121,81.25,79.625
122,81.5625,78.5
123,80.625,79.5
124,81.6875,78.75
125,81.6875,79.25
126,80.28125,76.75
127,81.09375,78.875
128,81.1875,80.25
129,81.46875,79.375
130,81.9375,78.5
131,81.40625,79.125
132,80.5,78.5
133,81.9375,78.875
134,82.0,79.75
135,81.15625,78.625
136,80.875,78.0
137,82.15625,78.25
138,81.09375,78.125
139,81.65625,78.75
140,80.78125,80.75
141,80.65625,78.875
142,80.875,77.5
143,81.40625,78.625
144,80.96875,78.125
145,81.4375,78.375
146,82.4375,79.75
147,80.96875,79.5
148,80.96875,79.125
149,80.96875,78.75
