epoch,train_accuracy,validation_accuracy
0,36.6875,38.75
1,39.09375,41.75
2,38.5625,38.125
3,40.03125,40.5
4,40.5625,41.375
5,40.21875,40.125
6,39.5625,38.375
7,41.3125,41.625
8,40.9375,42.375
9,44.5625,45.25
10,44.3125,45.375
11,48.46875,44.875
12,48.78125,51.25
13,51.5,52.75
14,53.25,53.25
15,53.875,51.0
16,53.96875,47.75
17,53.28125,48.0
18,53.375,52.0
19,53.46875,54.375
20,55.84375,55.375
21,55.59375,53.875
22,55.5,56.25
23,57.40625,55.5
24,56.5625,54.375
25,57.21875,55.125
26,54.65625,52.375
27,52.4375,48.25
28,55.09375,51.375
29,56.21875,55.875
30,57.4375,54.875
31,57.71875,48.625
32,56.25,55.625
33,57.53125,56.375
34,58.28125,55.5
35,59.28125,58.0
36,59.09375,55.625
37,59.25,55.625
38,59.78125,56.0
39,59.875,58.125
40,58.5625,58.125
41,59.71875,55.875
42,59.75,57.5
43,59.625,56.375
44,58.53125,57.125
45,58.59375,56.25
46,59.6875,57.375
47,60.21875,59.375
48,59.4375,57.125
49,61.125,57.5
50,59.75,58.875
51,59.9375,59.125
52,60.65625,56.125
53,61.125,61.875
54,61.0625,58.625
55,60.9375,57.25
56,59.46875,60.0
57,61.375,59.5
58,60.1875,58.375
59,61.0,60.375
60,60.78125,59.625
61,60.40625,57.875
62,59.03125,58.25
63,61.5,58.5
64,61.03125,60.25
65,62.0625,59.0
66,62.15625,59.375
67,61.25,59.25
68,61.0,62.25
69,61.09375,60.75
70,62.46875,60.75
71,63.40625,62.0
72,62.03125,59.875
73,61.5,60.75
74,63.0,61.25
75,63.03125,61.0
76,63.34375,57.75
77,62.40625,61.5
78,64.59375,64.25
79,65.96875,65.75
80,66.46875,65.0
81,66.53125,68.125
82,67.1875,68.0
83,68.4375,63.375
84,67.75,66.875
85,68.1875,67.875
86,67.65625,69.375
87,67.90625,67.25
88,67.71875,70.25
89,67.96875,71.0
90,69.6875,70.125
91,70.03125,69.625
92,69.5625,71.0
93,70.875,69.75
94,70.28125,68.5
95,69.3125,66.875
96,70.21875,70.125
97,68.5625,70.25
98,69.625,70.0
99,70.25,70.5
100,70.125,70.0
101,68.15625,67.875
102,68.21875,69.0
103,69.78125,68.625
104,69.78125,65.625
105,69.84375,68.25
106,69.84375,66.5
107,70.3125,67.375
108,69.9375,70.25
109,69.34375,69.625
110,68.0625,64.25
111,67.15625,69.25
112,69.96875,66.625
113,70.1875,69.375
114,70.40625,70.375
115,71.5,69.5
116,70.84375,72.0
117,70.40625,74.5
118,70.875,69.25
119,71.40625,72.375
120,72.5,70.75
121,72.78125,72.625
122,72.5625,70.25
123,72.4375,71.125
124,72.5625,72.5
125,73.5625,72.0
126,73.0,73.0
127,74.125,73.625
128,74.8125,72.0
129,72.25,71.375
130,72.46875,71.75
131,74.3125,73.875
132,72.59375,74.5
133,70.90625,71.375
134,72.125,71.75
135,72.25,70.375
136,71.84375,72.625
137,72.1875,73.0
138,73.21875,73.0
139,73.3125,69.25
140,72.84375,71.625
141,74.0,72.5
142,72.90625,70.0
143,72.125,73.375
144,74.15625,71.375
145,72.15625,71.375
146,72.78125,74.0
147,74.0625,73.0
148,72.84375,73.625
149,73.34375,73.375
