epoch,train_accuracy,validation_accuracy
0,24.75,25.0
1,25.0,25.0
2,25.0,25.0
3,25.0,25.0
4,24.875,26.25
5,24.6875,26.25
6,23.96875,25.0
7,25.0,25.0
8,25.0,25.0
9,25.125,26.25
10,24.6875,26.25
11,24.6875,26.25
12,24.875,26.25
13,24.65625,26.25
14,25.0625,23.75
15,25.3125,23.75
16,25.3125,23.75
17,24.5625,26.25
18,24.6875,26.25
19,24.6875,26.25
20,24.71875,23.75
21,25.3125,23.75
22,24.5,25.0
23,25.0,25.0
24,24.4375,26.25
25,24.6875,26.25
26,25.21875,23.75
27,25.28125,23.75
28,25.3125,23.75
29,25.3125,23.75
30,25.3125,23.75
31,25.3125,23.75
32,25.3125,23.75
33,25.3125,23.75
34,25.3125,23.75
35,25.3125,23.75
36,25.3125,23.75
37,25.3125,23.75
38,25.3125,23.75
39,25.3125,23.75
40,25.3125,23.75
41,24.65625,25.0
42,25.0,25.0
43,24.8125,25.0
44,25.03125,25.0
45,24.59375,26.25
46,24.6875,26.25
47,24.6875,26.25
48,24.6875,26.25
49,24.53125,26.25
50,24.6875,26.25
51,24.6875,26.25
52,24.6875,26.25
53,24.15625,26.25
54,24.6875,26.25
55,24.6875,26.25
56,24.96875,23.75
57,25.3125,23.75
58,25.3125,23.75
59,25.3125,23.75
60,25.3125,23.75
61,25.15625,23.75
62,24.65625,25.0
63,25.0,25.0
64,25.0,25.0
65,25.0,25.0
66,25.0,25.0
67,25.0,25.0
68,25.0,25.0
69,25.25,23.75
70,26.0,25.0
71,25.0625,25.0
72,25.0,25.0
73,25.0,25.0
74,25.40625,26.25
75,24.6875,23.75
76,25.3125,23.75
77,26.15625,25.0
78,25.09375,25.0
79,24.6875,26.25
80,24.8125,25.0
81,24.90625,25.0
82,25.0,25.0
83,25.5,23.75
84,25.3125,23.75
85,25.40625,26.25
86,24.6875,26.25
87,24.8125,25.0
88,25.0,25.0
89,25.0,25.0
90,25.0,25.0
91,25.0,25.0
92,25.0,25.0
93,25.46875,23.75
94,25.3125,23.75
95,25.5,25.0
96,25.0,25.0
97,25.0,25.0
98,24.75,25.0
99,25.0,25.0
100,25.0,25.0
101,24.65625,25.0
102,25.0,25.0
103,25.0,25.0
104,24.875,25.0
105,25.0,25.0
106,25.0,25.0
107,25.0,25.0
108,25.0,25.0
109,24.96875,25.0
110,25.0,25.0
111,25.0,25.0
112,24.0,25.0
113,25.0,25.0
114,25.0,25.0
115,25.0,25.0
116,24.09375,26.25
117,24.6875,26.25
118,24.6875,26.25
119,24.6875,26.25
120,24.5625,23.75
121,25.21875,25.0
122,25.0,25.0
123,25.0,25.0
124,25.0,25.0
125,25.0,25.0
126,25.0,25.0
127,25.0,25.0
128,25.0,26.25
129,24.6875,26.25
130,24.6875,26.25
131,25.125,25.0
132,24.8125,25.0
133,25.0,25.0
134,25.0,25.0
135,25.0,25.0
136,25.0,25.0
137,25.0,25.0
138,23.96875,25.0
139,25.0,25.0
140,25.0,25.0
141,25.0,25.0
142,25.0,25.0
143,25.0,25.0
144,24.6875,26.25
145,24.6875,26.25
146,24.6875,26.25
147,24.6875,26.25
148,23.4375,25.0
149,24.3125,26.25
