epoch,train_accuracy,validation_accuracy
0,31.3125,32.125
1,37.78125,48.125
2,44.40625,45.875
3,47.8125,50.5
4,49.0625,52.5
5,51.09375,49.625
6,54.03125,51.0
7,52.90625,52.875
8,52.125,57.375
9,55.875,55.5
10,54.375,49.125
11,56.6875,55.5
12,55.78125,55.375
13,59.375,56.625
14,58.28125,53.125
15,58.1875,59.625
16,59.25,60.125
17,61.15625,57.0
18,61.59375,60.75
19,58.1875,61.375
20,61.28125,62.75
21,61.25,54.375
22,61.3125,61.25
23,61.5,58.125
24,62.90625,64.25
25,62.375,63.75
26,62.0,60.625
27,62.40625,65.0
28,61.34375,63.25
29,63.28125,64.0
30,63.21875,64.125
31,63.75,57.25
32,61.71875,62.25
33,62.96875,62.375
34,63.0625,60.5
35,65.0,62.75
36,64.125,64.125
37,64.6875,63.5
38,65.03125,63.75
39,64.65625,61.375
40,65.78125,62.375
41,64.375,62.0
42,66.09375,67.875
43,66.125,63.0
44,66.625,66.0
45,65.625,66.75
46,67.5,66.625
47,66.46875,64.625
48,65.96875,65.75
49,66.15625,67.0
50,67.71875,65.875
51,67.71875,66.875
52,67.46875,65.75
53,66.6875,65.625
54,68.21875,68.75
55,67.46875,64.625
56,68.375,66.75
57,68.15625,67.0
58,68.71875,68.5
59,66.90625,66.125
60,67.53125,63.5
61,68.3125,64.875
62,67.84375,52.375
63,68.3125,62.625
64,69.0,65.5
65,67.875,65.5
66,68.875,66.375
67,67.28125,68.0
68,68.09375,64.125
69,69.09375,67.125
70,67.90625,65.125
71,68.59375,66.25
72,69.1875,69.5
73,69.75,66.125
74,70.0,68.875
75,70.875,64.25
76,70.5625,66.375
77,69.8125,66.875
78,69.5625,64.125
79,70.25,69.125
80,69.5625,68.25
81,69.78125,67.875
82,70.5,66.0
83,70.6875,66.5
84,69.40625,65.75
85,69.96875,64.625
86,71.0,66.625
87,71.75,68.375
88,70.34375,70.25
89,70.875,68.0
90,71.0,68.125
91,71.28125,67.125
92,70.78125,67.875
93,71.125,69.625
94,71.125,69.75
95,70.84375,65.75
96,70.59375,68.875
97,71.46875,68.375
98,71.3125,68.375
99,71.53125,64.75
100,71.34375,70.875
101,71.96875,71.0
102,71.09375,69.0
103,72.59375,70.375
104,71.40625,66.625
105,71.9375,69.125
106,72.21875,69.875
107,71.65625,66.0
108,73.0,68.875
109,72.3125,71.625
110,72.8125,68.5
111,71.875,66.625
112,73.375,68.0
113,72.96875,68.375
114,71.0,69.125
115,70.78125,66.25
116,73.15625,70.75
117,73.03125,70.0
118,73.03125,70.375
119,73.125,70.125
120,72.125,69.375
121,71.9375,67.0
122,72.21875,67.625
123,72.4375,72.375
124,73.15625,71.75
125,73.40625,69.375
126,72.84375,69.75
127,71.9375,67.875
128,72.75,70.5
129,72.25,70.25
130,74.0625,70.5
131,72.1875,69.5
132,73.4375,71.375
133,73.3125,70.5
134,73.21875,70.375
135,73.8125,69.75
136,72.5,67.25
137,72.3125,69.0
138,73.71875,71.375
139,73.28125,67.5
140,73.03125,72.25
141,73.71875,65.375
142,72.6875,69.5
143,73.875,71.875
144,74.40625,71.375
145,74.71875,72.375
146,73.75,72.5
147,73.71875,70.5
148,73.3125,67.75
149,72.75,65.25
150,73.71875,71.375
151,74.0,68.75
152,73.5625,71.5
153,73.65625,68.75
154,73.875,71.875
155,73.75,64.5
156,72.96875,70.5
157,73.84375,68.75
158,73.125,70.0
159,73.46875,71.5
160,72.65625,69.25
161,73.90625,68.625
162,73.53125,66.875
163,73.8125,71.0
164,73.59375,71.125
165,73.03125,70.75
166,74.875,72.125
167,73.65625,70.375
168,72.8125,70.125
169,73.78125,70.5
170,73.46875,71.25
171,74.5,71.75
172,73.0,69.875
173,73.46875,70.875
174,73.875,69.125
175,74.4375,70.75
176,74.3125,71.5
177,74.875,71.5
178,75.34375,70.125
179,73.90625,71.375
180,74.40625,72.5
181,74.59375,71.875
182,73.71875,71.25
183,74.125,67.625
184,74.71875,70.75
185,74.28125,71.25
186,75.4375,70.25
187,74.25,70.75
188,74.40625,69.5
189,74.53125,73.375
190,75.5,70.5
191,74.625,70.75
192,75.28125,72.375
193,74.96875,72.125
194,74.25,69.625
195,74.125,70.5
196,74.4375,70.75
197,74.25,71.0
198,75.40625,72.125
199,74.8125,72.25
