epoch,train_accuracy,validation_accuracy
0,38.09375,36.0
1,39.9375,33.125
2,44.625,47.125
3,48.75,44.5
4,51.1875,50.375
5,56.40625,50.5
6,55.4375,61.125
7,60.0625,60.75
8,59.96875,58.125
9,59.5,59.25
10,59.21875,60.5
11,61.1875,63.375
12,63.53125,60.875
13,62.09375,65.625
14,65.75,63.75
15,65.03125,67.75
16,65.15625,66.375
17,66.6875,65.75
18,65.84375,63.375
19,64.65625,68.625
20,66.25,62.25
21,67.65625,62.5
22,68.65625,67.5
23,68.6875,69.25
24,69.03125,68.25
25,70.25,68.125
26,67.9375,69.75
27,70.59375,67.125
28,69.5625,68.125
29,71.625,69.25
30,70.75,71.5
31,70.46875,70.125
32,72.0625,69.125
33,72.5625,72.25
34,73.71875,70.75
35,72.21875,72.875
36,74.03125,71.125
37,73.21875,70.25
38,72.5625,73.125
39,74.03125,71.75
40,73.4375,69.875
41,74.03125,72.0
42,73.3125,69.375
43,74.625,72.125
44,75.34375,72.125
45,74.96875,67.75
46,74.59375,71.25
47,75.34375,69.375
48,75.75,73.25
49,75.4375,72.25
50,75.03125,69.125
51,76.90625,71.75
52,75.40625,72.375
53,76.96875,73.0
54,76.34375,75.0
55,76.5,73.25
56,76.5625,74.125
57,78.03125,73.125
58,76.53125,72.75
59,78.59375,72.625
60,76.9375,72.875
61,76.71875,74.5
62,78.09375,72.75
63,78.03125,72.375
64,78.15625,70.875
65,76.0,71.0
66,77.03125,70.25
67,78.46875,71.75
68,77.4375,72.375
69,78.84375,72.125
70,79.65625,73.5
71,78.75,73.125
72,79.53125,74.625
73,79.0625,69.0
74,78.46875,74.375
75,79.25,74.625
76,81.0,74.625
77,79.1875,75.25
78,79.8125,73.25
79,81.25,74.25
80,78.78125,71.75
81,80.28125,74.625
82,80.875,71.75
83,79.84375,73.25
84,80.0,74.375
85,81.84375,72.625
86,81.28125,76.25
87,80.25,73.375
88,80.5,72.5
89,81.59375,73.5
90,82.59375,74.25
91,81.5,72.875
92,80.5,71.125
93,81.34375,72.75
94,81.75,73.5
95,83.3125,76.0
96,81.96875,73.875
97,81.6875,74.625
98,81.375,73.125
99,81.90625,73.375
100,83.0625,74.25
101,83.25,74.25
102,82.40625,73.25
103,81.65625,75.0
104,82.78125,73.125
105,82.0,73.0
106,82.3125,74.0
107,82.8125,73.625
108,82.84375,74.5
109,83.40625,72.5
110,83.96875,75.625
111,82.53125,74.375
112,82.78125,73.125
113,83.78125,72.875
114,82.59375,74.875
115,83.4375,71.5
116,84.28125,71.875
117,83.71875,74.875
118,84.625,73.5
119,83.75,73.375
120,84.90625,75.5
121,84.53125,71.75
122,84.21875,73.25
123,85.34375,72.625
124,84.21875,73.625
125,83.96875,75.0
126,84.03125,76.0
127,85.09375,73.75
128,84.65625,72.75
129,84.96875,75.125
130,85.71875,74.625
131,85.03125,72.625
132,84.9375,74.625
133,86.125,75.625
134,84.78125,74.75
135,85.65625,74.875
136,85.65625,75.25
137,84.6875,73.5
138,85.53125,74.0
139,85.53125,75.125
140,86.0625,74.875
141,86.125,74.375
142,86.03125,73.5
143,86.15625,73.625
144,84.9375,74.25
145,86.15625,74.75
146,86.21875,73.25
147,86.0625,74.75
148,86.21875,74.625
149,85.46875,74.75
150,86.34375,75.5
151,86.3125,73.25
152,86.8125,74.5
153,85.6875,75.5
154,85.90625,75.125
155,86.5,73.75
156,86.40625,73.75
157,87.625,76.25
158,85.96875,73.375
159,86.625,76.75
160,85.6875,75.5
161,87.1875,75.125
162,87.25,74.375
163,85.78125,75.125
164,86.4375,73.375
165,87.0,74.75
166,87.9375,74.0
167,86.84375,73.375
168,86.875,75.375
169,87.59375,76.125
170,86.65625,73.5
171,86.625,73.375
172,86.9375,75.0
173,87.25,75.875
174,86.6875,75.0
175,87.46875,74.0
176,87.875,74.75
177,87.75,73.0
178,87.65625,76.625
179,86.9375,73.25
180,87.78125,75.75
181,87.03125,75.0
182,87.28125,74.625
183,87.90625,73.875
184,86.90625,74.375
185,88.8125,73.75
186,87.8125,76.25
187,87.0,73.875
188,88.3125,74.625
189,87.65625,76.75
190,87.46875,74.625
191,88.15625,73.375
192,87.875,74.5
193,87.9375,75.5
194,87.5625,74.25
195,87.0,76.125
196,87.46875,74.5
197,87.0,74.875
198,86.625,75.125
199,88.0,75.0
