epoch,train_accuracy,validation_accuracy
0,45.78125,52.15
1,57.78125,64.9
2,66.4375,68.0
3,69.28125,70.55
4,70.15625,73.325
5,69.875,68.925
6,72.5625,73.625
7,73.09375,73.45
8,73.125,74.95
9,74.46875,73.825
10,76.625,73.6
11,76.03125,71.875
12,76.71875,76.85
13,76.71875,76.75
14,78.40625,76.6
15,79.0,77.85
16,78.34375,78.425
17,79.28125,76.375
18,80.25,77.625
19,79.71875,77.85
20,81.59375,78.275
21,82.03125,77.9
22,81.375,79.425
23,81.625,78.55
24,82.375,79.2
25,82.03125,79.975
26,81.875,78.975
27,83.1875,78.975
28,84.21875,79.625
29,84.59375,81.325
30,85.3125,80.05
31,84.5625,81.3
32,83.5,79.6
33,85.46875,80.075
34,85.1875,81.25
35,84.9375,81.8
36,84.6875,81.8
37,86.09375,82.025
38,86.625,81.725
39,86.5625,81.625
40,86.4375,82.8
41,86.53125,82.425
42,88.8125,81.675
43,88.03125,82.0
44,87.625,81.95
45,88.53125,82.175
46,88.59375,83.875
47,88.34375,82.625
48,89.0,83.0
49,88.53125,83.925
50,89.40625,82.125
51,90.4375,83.3
52,89.5625,81.0
53,89.28125,82.35
54,89.84375,83.825
55,89.875,82.575
56,89.65625,83.825
57,90.96875,83.3
58,90.96875,82.5
59,91.1875,83.325
60,90.375,83.175
61,91.0,83.05
62,92.4375,83.65
63,91.53125,84.3
64,91.53125,83.325
65,91.6875,84.4
66,92.4375,81.725
67,91.125,82.4
68,90.78125,84.05
69,92.15625,83.375
70,92.34375,83.625
71,92.25,83.725
72,92.0625,84.475
73,91.6875,81.95
74,93.28125,84.15
75,93.34375,84.35
76,93.25,84.675
77,93.5625,83.55
78,93.375,82.25
79,93.75,84.125
80,94.25,85.125
81,92.84375,83.325
82,92.78125,83.725
83,94.3125,84.725
84,93.5,85.325
85,93.90625,84.7
86,94.34375,84.525
87,94.375,83.35
88,94.71875,84.325
89,94.5,84.925
90,94.59375,83.825
91,94.6875,84.675
92,94.96875,83.4
93,94.5,84.45
94,94.5,84.775
95,95.46875,84.3
96,95.625,85.2
97,96.03125,85.175
98,95.625,84.925
99,95.375,85.6
100,95.59375,85.6
101,95.96875,85.9
102,96.4375,84.925
103,96.625,85.775
104,96.78125,84.975
105,95.625,85.6
106,96.25,85.775
107,96.0,85.025
108,96.28125,85.15
109,96.5625,85.25
110,96.46875,85.375
111,96.65625,85.725
112,96.6875,85.45
113,96.90625,85.575
114,96.6875,85.925
115,96.96875,85.925
116,96.90625,85.775
117,96.96875,85.825
118,96.59375,85.4
119,97.1875,85.85
120,96.84375,85.275
121,97.4375,85.45
122,96.5625,85.525
123,96.46875,85.7
124,96.96875,84.375
125,97.0,84.975
126,97.28125,85.95
127,97.125,85.625
128,97.21875,85.95
129,97.6875,85.125
130,97.1875,84.55
131,97.1875,85.775
132,97.3125,85.525
133,97.375,86.0
134,97.6875,85.575
135,97.3125,85.1
136,97.375,85.7
137,97.625,85.375
138,97.46875,85.1
139,97.3125,85.85
140,97.875,85.725
141,97.96875,85.675
142,97.6875,86.05
143,98.03125,85.8
144,97.9375,85.7
145,97.71875,86.7
146,97.9375,85.375
147,97.65625,85.55
148,97.28125,85.175
149,97.84375,86.55
150,97.90625,86.125
151,97.78125,85.825
152,98.25,85.425
153,97.875,86.3
154,98.28125,86.45
155,97.75,86.25
156,98.09375,85.65
157,98.125,85.4
158,98.0,86.8
159,97.96875,86.425
160,98.21875,86.3
161,98.15625,86.7
162,98.34375,86.2
163,98.25,86.575
164,98.15625,86.575
165,98.25,85.925
166,98.46875,86.6
167,98.53125,86.2
168,98.15625,86.2
169,98.40625,85.625
170,98.5625,86.25
171,97.90625,86.25
172,98.375,86.375
173,98.40625,86.175
174,98.3125,86.45
175,98.3125,86.375
176,98.5,86.05
177,98.53125,86.35
178,98.5,86.35
179,98.71875,86.4
180,97.96875,85.175
181,98.625,86.175
182,98.5,86.0
183,98.25,85.3
184,98.0625,85.925
185,98.78125,86.975
186,98.46875,85.75
187,98.4375,86.05
188,98.4375,85.925
189,98.625,85.7
190,98.53125,86.05
191,98.0,86.425
192,98.625,85.55
193,98.25,85.05
194,98.40625,86.225
195,98.4375,85.225
196,98.59375,86.2
197,98.34375,85.5
198,98.40625,86.3
199,98.625,86.275
